Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.92604064941406,35.838981291465764,27.214714046260223,29.39123744694935,855215656
2007-10-08,31.24045753479004,34.038842890259176,31.04407875841205,34.038842890259176,126671715
2007-10-09,33.367897033691406,33.662463087865255,29.571255559772162,31.25683217349766,116725709
2007-10-10,33.678829193115234,34.366152962647284,33.384263131671325,34.23523298674384,67931378
2007-10-11,37.44274139404297,39.27560335758292,33.38426418571885,39.27560335758292,106320954
2007-10-12,37.19725799560547,38.588268224563784,36.32992309363304,36.657219618093826,99410791
2007-10-15,37.688209533691406,38.19552190103053,37.360912950599335,37.96641251716847,41814972
2007-10-16,41.5339469909668,42.18854463746606,37.47546999383492,37.73730550103919,138614496
2007-10-17,44.7741813659668,45.82152770414997,34.72617288530572,37.311817065098374,204876259
2007-10-18,43.203155517578125,48.91448236033723,41.353930810647626,45.494231475711715,146617799
2007-10-19,43.055877685546875,44.80691531887491,40.91208237099316,42.22126872275332,110266491
2007-10-22,42.48310470581055,43.80865398799672,41.075726845005164,42.18853869190736,72253405
2007-10-23,45.51059341430664,45.91971407119512,43.53044677142047,43.53044677142047,74594921
2007-10-24,44.80691146850586,46.96706965113118,44.29959913724695,46.47612037216553,63055170
2007-10-25,44.70872116088867,45.75607195900618,39.48833910156663,43.28498019568777,34522489
2007-10-26,46.05064010620117,46.78705742153191,44.266871944480215,45.49423413669811,62370025
2007-10-29,46.98343276977539,48.112607678428006,46.57431206942933,46.80342143732061,43657697
2007-10-30,48.0307731628418,49.32359163311692,46.214274982155565,47.6216525508732,79921711
2007-10-31,49.02903366088867,50.10911491583812,48.112605116607455,48.2762533880322,44655368
2007-11-01,47.932579040527344,50.616411890092785,47.53982593716528,50.24002183465486,50632492
2007-11-02,48.7999153137207,49.094485699404885,45.821516434717104,46.19791094103742,32001693
2007-11-05,49.798160552978516,50.8946043998304,48.472607446459094,48.76717776295782,38833135
2007-11-06,50.4527702331543,53.64391125541779,49.76544666358738,50.66551208012324,81880281
2007-11-07,49.71635055541992,52.10561321893568,48.60354334829262,51.38556358573231,33593141
2007-11-08,48.865379333496094,50.190932831304615,47.78530265164583,48.43989565622003,27990521
2007-11-12,50.043643951416016,50.92734621833705,46.09971872518558,47.39254158989551,35153735
2007-11-13,51.23828125,52.26926439013028,49.27450214908778,50.894621683037606,43830531
2007-11-14,50.56732940673828,52.85840521659624,50.305489507779846,52.138351043514916,36738579
2007-11-15,51.418304443359375,52.31836999494367,50.45277780323508,51.516491636925615,29242252
2007-11-16,51.058265686035156,52.220166448206584,50.46912934131674,51.18918339400278,18895294
2007-11-19,52.907501220703125,54.822186979732194,51.82742435111938,52.22017755858452,40716718
2007-11-20,52.0892448425293,54.16757828344301,51.45101495998553,52.69474419071962,26342171
2007-11-21,48.0307731628418,52.71111118806547,46.86886796130533,52.40018218651499,26814499
2007-11-22,46.377933502197266,49.45452473722892,44.36506053319862,47.52347146950879,34096185
2007-11-23,49.45452880859375,49.74909485087538,46.67250336256204,49.421798261841545,27664090
2007-11-26,49.84727096557617,51.2873747491891,49.45451780963253,51.2873747491891,20159123
2007-11-27,48.61989974975586,50.69823311905204,48.112592022107265,50.69823311905204,20573198
2007-11-28,47.89986038208008,49.91273773796302,47.572563828504784,49.68362837476287,16435311
2007-11-29,46.60702896118164,49.35631837433698,46.001529614183504,49.09448297850977,25530967
2007-11-30,48.40717315673828,48.70173916986433,46.803420917057636,47.45801403033494,18437721
2007-12-03,49.09449005126953,49.69998948549847,48.619908333814756,48.99629843425662,16851227
2007-12-04,48.456268310546875,49.83091566832987,48.09624119881859,49.42179495937586,14008727
2007-12-05,50.38732147216797,50.567337263027824,48.43990939477916,48.53809659761603,27725290
2007-12-06,49.45452880859375,52.2529128691354,48.81629868428013,51.483764997057065,24104710
2007-12-07,49.24177551269531,50.46913754805202,48.35807751078457,49.76545086896287,11742386
2007-12-10,49.2908821105957,49.89637726852485,48.65265196560998,49.71636591442336,8330010
2007-12-11,49.0617561340332,50.01091506434373,48.816283767267926,49.732712160827866,11685950
2007-12-12,49.02903366088867,49.4708848815842,48.112605116607455,48.43990165945696,16342131
2007-12-13,48.21080017089844,49.74909594901064,48.030788818653996,49.09450275649382,14620172
2007-12-14,47.736209869384766,48.48899457089456,47.49073746570093,48.04714335641498,10991851
2007-12-17,44.85601043701172,48.27626167241395,44.18504974548487,48.01442172965558,19355678
2007-12-18,44.65962600708008,46.148823570742614,43.2686156351504,44.34869250118656,21607783
2007-12-19,43.84136962890625,46.49247173135172,43.46497960357115,46.099714220159,19526912
2007-12-20,43.3995361328125,44.774183540027416,43.203157297604086,44.41415641535265,17105204
2007-12-24,44.725074768066406,45.42876128619744,43.69408734279545,44.05411434533114,16711519
2007-12-26,46.083370208740234,46.63977617288528,44.97056271969415,44.97056271969415,20930094
2007-12-27,46.41066360473633,47.6871192968914,46.01790595826845,47.03252617894073,44565277
2007-12-28,46.770668029785156,46.96704675780103,45.82150491758202,46.31244951800093,18354518
2007-12-31,47.114349365234375,47.39255232258217,46.54158039861863,47.13071685639813,11982308
2008-01-01,47.9817008972168,48.42355228320146,46.91798673503841,47.359838121023074,16687746
2008-01-02,47.71985626220703,48.341718920094294,47.01616945356501,47.98169176892452,13437280
2008-01-03,49.68363571166992,49.88001456066358,46.85252099301456,47.42529004635356,31815218
2008-01-04,49.42178726196289,51.05826984289778,49.094490745775914,50.40367681052382,28011310
2008-01-07,49.01266098022461,50.14183116766812,48.4889857267,49.11084814809184,15858063
2008-01-08,47.343467712402344,49.749098716576896,46.77069863708671,49.061774938349245,13282666
2008-01-09,46.590667724609375,47.60528778822652,46.476113058851425,47.39254594567203,13113527
2008-01-10,45.477874755859375,48.11261513814273,45.16694119968958,46.803428694049956,18023003
2008-01-11,46.165191650390625,46.60704289730553,44.34869306623906,46.09973056223888,11629440
2008-01-14,46.868865966796875,47.359810680267,45.510586480711375,46.24700355091656,10264240
2008-01-15,45.445133209228516,47.818033064907134,45.06874308548678,47.62165869721115,11558334
2008-01-16,44.5123405456543,45.49423021478298,43.3831700897025,45.11784006279905,14834065
2008-01-17,45.70698928833008,46.721609784207544,43.72684190588885,44.67600129651812,16169395
2008-01-18,43.57954406738281,45.37967492736224,43.203149517992586,45.33057689796827,13254156
2008-01-21,36.16627883911133,43.20315489479833,31.502300629092268,43.20315489479833,33202389
2008-01-22,32.53328323364258,34.366144698561925,25.840067386321063,32.5987420960422,58755707
2008-01-23,36.16627883911133,37.55728922221225,33.05696151217986,33.05696151217986,28425991
2008-01-24,36.24810028076172,38.8173789790651,34.52979346485252,38.11369231373191,29911930
2008-01-25,38.11369323730469,38.29370456096939,36.5753977034221,37.96640801667466,12550722
2008-01-28,38.522804260253906,38.817370188424675,34.52978564518499,37.59000845501116,13601109
2008-01-29,37.88459014892578,39.17741348849585,37.311821101640554,38.621007495435364,7679877
2008-01-30,35.789878845214844,38.13004772338374,35.31529718689894,37.966399487997904,9016102
2008-01-31,33.44972229003906,36.26447405026644,33.05696679828279,36.16628462242182,41538563
2008-02-01,34.61162185668945,34.857094289158965,33.7115562709679,34.02248757483822,9089201
2008-02-04,36.395389556884766,36.820875571483796,35.26621675555732,35.26621675555732,12009385
2008-02-05,37.52456283569336,38.01550773118033,35.6753379505413,36.4608488954716,14593303
2008-02-06,37.19725799560547,37.639109191476166,35.118926397052476,36.49357135586343,12429218
2008-02-07,35.44623565673828,37.95005630021606,35.21712845122576,36.689963340463606,11300078
2008-02-08,34.52980041503906,35.96990457705582,33.89157026496909,35.67533852288671,13514197
